state_name|state_abbrev|state_fips_2d|county_name|county_fips_3d|county_ns_8d|class_fp|func_stat|full_fips_5d|full_fips_numeric
Alabama|AL|01|Autauga County|001|00161526|H1|A|01001|1001
Alabama|AL|01|Baldwin County|003|00161527|H1|A|01003|1003
Alabama|AL|01|Barbour County|005|00161528|H1|A|01005|1005
Alabama|AL|01|Bibb County|007|00161529|H1|A|01007|1007
Alabama|AL|01|Blount County|009|00161530|H1|A|01009|1009
Alabama|AL|01|Bullock County|011|00161531|H1|A|01011|1011
Alabama|AL|01|Butler County|013|00161532|H1|A|01013|1013
Alabama|AL|01|Calhoun County|015|00161533|H1|A|01015|1015
Alabama|AL|01|Chambers County|017|00161534|H1|A|01017|1017
Alabama|AL|01|Cherokee County|019|00161535|H1|A|01019|1019
Alabama|AL|01|Chilton County|021|00161536|H1|A|01021|1021
Alabama|AL|01|Choctaw County|023|00161537|H1|A|01023|1023
Alabama|AL|01|Clarke County|025|00161538|H1|A|01025|1025
Alabama|AL|01|Clay County|027|00161539|H1|A|01027|1027
Alabama|AL|01|Cleburne County|029|00161540|H1|A|01029|1029
Alabama|AL|01|Coffee County|031|00161541|H1|A|01031|1031
Alabama|AL|01|Colbert County|033|00161542|H1|A|01033|1033
Alabama|AL|01|Conecuh County|035|00161543|H1|A|01035|1035
Alabama|AL|01|Coosa County|037|00161544|H1|A|01037|1037
Alabama|AL|01|Covington County|039|00161545|H1|A|01039|1039
Alabama|AL|01|Crenshaw County|041|00161546|H1|A|01041|1041
Alabama|AL|01|Cullman County|043|00161547|H1|A|01043|1043
Alabama|AL|01|Dale County|045|00161548|H1|A|01045|1045
Alabama|AL|01|Dallas County|047|00161549|H1|A|01047|1047
Alabama|AL|01|DeKalb County|049|00161550|H1|A|01049|1049
Alabama|AL|01|Elmore County|051|00161551|H1|A|01051|1051
Alabama|AL|01|Escambia County|053|00161552|H1|A|01053|1053
Alabama|AL|01|Etowah County|055|00161553|H1|A|01055|1055
Alabama|AL|01|Fayette County|057|00161554|H1|A|01057|1057
Alabama|AL|01|Franklin County|059|00161555|H1|A|01059|1059
Alabama|AL|01|Geneva County|061|00161556|H1|A|01061|1061
Alabama|AL|01|Greene County|063|00161557|H1|A|01063|1063
Alabama|AL|01|Hale County|065|00161558|H1|A|01065|1065
Alabama|AL|01|Henry County|067|00161559|H1|A|01067|1067
Alabama|AL|01|Houston County|069|00161560|H1|A|01069|1069
Alabama|AL|01|Jackson County|071|00161561|H1|A|01071|1071
Alabama|AL|01|Jefferson County|073|00161562|H1|A|01073|1073
Alabama|AL|01|Lamar County|075|00161563|H1|A|01075|1075
Alabama|AL|01|Lauderdale County|077|00161564|H1|A|01077|1077
Alabama|AL|01|Lawrence County|079|00161565|H1|A|01079|1079
Alabama|AL|01|Lee County|081|00161566|H1|A|01081|1081
Alabama|AL|01|Limestone County|083|00161567|H1|A|01083|1083
Alabama|AL|01|Lowndes County|085|00161568|H1|A|01085|1085
Alabama|AL|01|Macon County|087|00161569|H1|A|01087|1087
Alabama|AL|01|Madison County|089|00161570|H1|A|01089|1089
Alabama|AL|01|Marengo County|091|00161572|H1|A|01091|1091
Alabama|AL|01|Marion County|093|00161573|H1|A|01093|1093
Alabama|AL|01|Marshall County|095|00161574|H1|A|01095|1095
Alabama|AL|01|Mobile County|097|00161575|H1|A|01097|1097
Alabama|AL|01|Monroe County|099|00161576|H1|A|01099|1099
Alabama|AL|01|Montgomery County|101|00161577|H1|A|01101|1101
Alabama|AL|01|Morgan County|103|00161578|H1|A|01103|1103
Alabama|AL|01|Perry County|105|00161579|H1|A|01105|1105
Alabama|AL|01|Pickens County|107|00161580|H1|A|01107|1107
Alabama|AL|01|Pike County|109|00161581|H1|A|01109|1109
Alabama|AL|01|Randolph County|111|00161582|H1|A|01111|1111
Alabama|AL|01|Russell County|113|00161583|H1|A|01113|1113
Alabama|AL|01|St. Clair County|115|00164997|H1|A|01115|1115
Alabama|AL|01|Shelby County|117|00161584|H1|A|01117|1117
Alabama|AL|01|Sumter County|119|00161585|H1|A|01119|1119
Alabama|AL|01|Talladega County|121|00161586|H1|A|01121|1121
Alabama|AL|01|Tallapoosa County|123|00161587|H1|A|01123|1123
Alabama|AL|01|Tuscaloosa County|125|00161588|H1|A|01125|1125
Alabama|AL|01|Walker County|127|00161589|H1|A|01127|1127
Alabama|AL|01|Washington County|129|00161590|H1|A|01129|1129
Alabama|AL|01|Wilcox County|131|00161591|H1|A|01131|1131
Alabama|AL|01|Winston County|133|00161592|H1|A|01133|1133
Alaska|AK|02|Aleutians East Borough|013|01419964|H1|A|02013|2013
Alaska|AK|02|Aleutians West Census Area|016|01419965|H5|S|02016|2016
Alaska|AK|02|Anchorage Municipality|020|01416061|H6|C|02020|2020
Alaska|AK|02|Bethel Census Area|050|01419966|H5|S|02050|2050
Alaska|AK|02|Bristol Bay Borough|060|01419967|H1|A|02060|2060
Alaska|AK|02|Chugach Census Area|063|02804400|H5|S|02063|2063
Alaska|AK|02|Copper River Census Area|066|02804401|H5|S|02066|2066
Alaska|AK|02|Denali Borough|068|01419988|H1|A|02068|2068
Alaska|AK|02|Dillingham Census Area|070|01419968|H5|S|02070|2070
Alaska|AK|02|Fairbanks North Star Borough|090|01419969|H1|A|02090|2090
Alaska|AK|02|Haines Borough|100|01419970|H1|A|02100|2100
Alaska|AK|02|Hoonah-Angoon Census Area|105|02371430|H5|S|02105|2105
Alaska|AK|02|Juneau City and Borough|110|01419971|H6|C|02110|2110
Alaska|AK|02|Kenai Peninsula Borough|122|01419972|H1|A|02122|2122
Alaska|AK|02|Ketchikan Gateway Borough|130|01419973|H1|A|02130|2130
Alaska|AK|02|Kodiak Island Borough|150|01419974|H1|A|02150|2150
Alaska|AK|02|Kusilvak Census Area|158|01419985|H5|S|02158|2158
Alaska|AK|02|Lake and Peninsula Borough|164|01419975|H1|A|02164|2164
Alaska|AK|02|Matanuska-Susitna Borough|170|01419976|H1|A|02170|2170
Alaska|AK|02|Nome Census Area|180|01419977|H5|S|02180|2180
Alaska|AK|02|North Slope Borough|185|01419978|H1|A|02185|2185
Alaska|AK|02|Northwest Arctic Borough|188|01419979|H1|A|02188|2188
Alaska|AK|02|Petersburg Borough|195|02516404|H1|A|02195|2195
Alaska|AK|02|Prince of Wales-Hyder Census Area|198|01419980|H5|S|02198|2198
Alaska|AK|02|Sitka City and Borough|220|01419981|H6|C|02220|2220
Alaska|AK|02|Skagway Municipality|230|02339479|H1|A|02230|2230
Alaska|AK|02|Southeast Fairbanks Census Area|240|01419983|H5|S|02240|2240
Alaska|AK|02|Wrangell City and Borough|275|02516402|H6|C|02275|2275
Alaska|AK|02|Yakutat City and Borough|282|01419986|H1|A|02282|2282
Alaska|AK|02|Yukon-Koyukuk Census Area|290|01419987|H5|S|02290|2290
Arizona|AZ|04|Apache County|001|00025441|H1|A|04001|4001
Arizona|AZ|04|Cochise County|003|00025442|H1|A|04003|4003
Arizona|AZ|04|Coconino County|005|00025443|H1|A|04005|4005
Arizona|AZ|04|Gila County|007|00040471|H1|A|04007|4007
Arizona|AZ|04|Graham County|009|00025444|H1|A|04009|4009
Arizona|AZ|04|Greenlee County|011|00042807|H1|A|04011|4011
Arizona|AZ|04|La Paz County|012|00043540|H1|A|04012|4012
Arizona|AZ|04|Maricopa County|013|00037026|H1|A|04013|4013
Arizona|AZ|04|Mohave County|015|00025445|H1|A|04015|4015
Arizona|AZ|04|Navajo County|017|00042808|H1|A|04017|4017
Arizona|AZ|04|Pima County|019|00025446|H1|A|04019|4019
Arizona|AZ|04|Pinal County|021|00025447|H1|A|04021|4021
Arizona|AZ|04|Santa Cruz County|023|00040472|H1|A|04023|4023
Arizona|AZ|04|Yavapai County|025|00042809|H1|A|04025|4025
Arizona|AZ|04|Yuma County|027|00023901|H1|A|04027|4027
Arkansas|AR|05|Arkansas County|001|00063755|H1|A|05001|5001
Arkansas|AR|05|Ashley County|003|00063756|H1|A|05003|5003
Arkansas|AR|05|Baxter County|005|00069895|H1|A|05005|5005
Arkansas|AR|05|Benton County|007|00069896|H1|A|05007|5007
Arkansas|AR|05|Boone County|009|00069897|H1|A|05009|5009
Arkansas|AR|05|Bradley County|011|00063757|H1|A|05011|5011
Arkansas|AR|05|Calhoun County|013|00063758|H1|A|05013|5013
Arkansas|AR|05|Carroll County|015|00066975|H1|A|05015|5015
Arkansas|AR|05|Chicot County|017|00069160|H1|A|05017|5017
